day         number_of_outages  total_duration_h  avg_duration_h   
----------  -----------------  ----------------  -----------------
2023-05-14  1                  8791              8791.93333333333 
2023-09-20  15                 4224              281.65           
2023-09-21  1                  52                52.55            
2023-09-22  333                9777              29.3605605605606 
2023-09-23  115                2557              22.2385507246377 
2023-09-24  135                4284              31.7366666666667 
2023-09-25  532                16435             30.89414160401   
2023-09-26  489                9468              19.3629516019087 
2023-09-27  701                7642              10.901997146933  
2023-09-28  378                3883              10.2735890652557 
2023-09-29  514                3332              6.48430609597925 
2023-09-30  151                744               4.93079470198675 
2023-10-01  176                2800              15.9123106060606 
2023-10-02  154                7190              46.6943722943723 
2023-10-03  474                4407              9.29880450070323 
2023-10-04  592                9859              16.655152027027  
2023-10-05  457                6847              14.9836615609044 
2023-10-06  413                5259              12.7353107344633 
2023-10-07  198                2776              14.025           
2023-10-08  114                1804              15.8308479532164 
2023-10-09  394                5893              14.9585025380711 
2023-10-10  464                6947              14.973599137931  
2023-10-11  606                10599             17.4912816281628 
2023-10-12  536                9112              17.0015858208955 
2023-10-13  341                5587              16.3849462365591 
2023-10-14  251                2445              9.7429614873838  
2023-10-15  281                5085              18.0963819691578 
2023-10-16  606                429071            708.038861386139 
2023-10-17  618                11280             18.2535598705502 
2023-10-18  796                10558             13.2639656616415 
2023-10-19  427                7158              16.7656908665105 
2023-10-20  480                7000              14.5850347222222 
2023-10-21  435                4138              9.51475095785441 
2023-10-22  76                 844               11.1052631578947 
2023-10-23  784                9557              12.1912414965986 
2023-10-24  564                9860              17.4829491725768 
2023-10-25  634                10495             16.5549421661409 
2023-10-26  447                7517              16.8167412378822 
2023-10-27  593                7114              11.9982855536818 
2023-10-28  211                3219              15.25663507109   
2023-10-29  140                1576              11.2572619047619 
2023-10-30  406                6086              14.9912972085386 
2023-10-31  1087               15988             14.7084483287335 
2023-11-01  181                1804              9.97136279926335 
2023-11-02  790                11694             14.8032700421941 
2023-11-03  313                3989              12.7445686900958 
2023-11-04  117                1152              9.85042735042735 
2023-11-05  167                2084              12.4809381237525 
2023-11-06  374                6561              17.5446524064171 
2023-11-07  199                2576              12.9474874371859 
2023-11-08  348                3541              10.1765325670498 
2023-11-09  321                5906              18.4017133956386 
2023-11-10  285                4125              14.4767251461988 
2023-11-11  135                1942              14.3861728395062 
2023-11-12  135                2202              16.3158024691358 
2023-11-13  1082               11674             10.7901725200246 
2023-11-14  609                9367              15.3819376026273 
2023-11-15  753                11645             15.465183709606  
2023-11-16  449                6297              14.0262435040831 
2023-11-17  335                5644              16.8479104477612 
2023-11-18  183                2011              10.9943533697632 
2023-11-19  122                890               7.30286885245902 
2023-11-20  936                11717             12.518660968661  
2023-11-21  409                6177              15.1050122249389 
2023-11-22  679                10263             15.1150957290133 
2023-11-23  682                9177              13.4572336265885 
2023-11-24  619                5668              9.15802369413032 
2023-11-25  250                2358              9.43406666666667 
2023-11-26  146                2539              17.3947488584475 
2023-11-27  681                9073              13.3239109153206 
2023-11-28  1226               17002             13.8682164219685 
2023-11-29  919                12286             13.3690061661226 
2023-11-30  534                7401              13.8600811485643 
2023-12-01  1851               17319             9.35687916441563 
2023-12-02  6574               86157             13.1057549944225 
2023-12-03  478                5815              12.1661436541144 
2023-12-04  388                5744              14.8060137457045 
2023-12-05  616                8442              13.705275974026  
2023-12-06  471                6895              14.6391012031139 
2023-12-07  476                5536              11.6315476190476 
2023-12-08  315                4641              14.734708994709  
2023-12-09  208                2047              9.84142628205128 
2023-12-10  175                1431              8.17866666666667 
2023-12-11  561                7176              12.7919489007724 
2023-12-12  464                6951              14.9812859195402 
2023-12-13  392                6420              16.3776785714286 
2023-12-14  463                7324              15.8194024478042 
2023-12-15  208                2762              13.2811698717949 
2023-12-16  108                974               9.02052469135803 
2023-12-17  159                1805              11.3575471698113 
2023-12-18  261                3955              15.1540868454662 
2023-12-19  345                6477              18.7754589371981 
2023-12-20  350                5719              16.3409523809524 
2023-12-21  2960               47717             16.1206981981982 
2023-12-22  1143               14447             12.6403324584427 
2023-12-23  2009               24307             12.0993031358885 
2023-12-24  497                6687              13.4566398390342 
2023-12-25  248                2002              8.07405913978495 
2023-12-26  222                18679             84.1440690690691 
2023-12-27  333                16963             50.9410910910911 
2023-12-28  145                1956              13.4903448275862 
2023-12-29  186                2314              12.4442652329749 
2023-12-30  160                4484              28.0253125       
2023-12-31  224                2517              11.2389880952381 
2024-01-01  233                5994              25.7265379113019 
2024-01-02  450                4879              10.8427777777778 
2024-01-03  249                2999              12.0457161981258 
2024-01-04  280                4565              16.3059523809524 
2024-01-05  206                3438              16.6893203883495 
2024-01-06  201                3392              16.8777777777778 
2024-01-07  319                3274              10.2654649947753 
2024-01-08  210                2036              9.69833333333333 
2024-01-09  340                5238              15.4061764705882 
2024-01-10  189                2431              12.8654320987654 
2024-01-11  291                4685              16.102520045819  
2024-01-12  367                5834              15.8969118982743 
2024-01-13  207                2137              10.3259259259259 
2024-01-14  137                1672              12.2114355231144 
2024-01-15  350                5045              14.4145238095238 
2024-01-16  357                5184              14.5223155929038 
2024-01-17  529                6040              11.4186200378072 
2024-01-18  411                55231             134.382278994323 
2024-01-19  265                4031              15.2140251572327 
2024-01-20  73                 1004              13.7609589041096 
2024-01-21  112                1511              13.4995535714286 
2024-01-22  212                3746              17.6735062893082 
2024-01-23  331                5895              17.8106243705942 
2024-01-24  859                14297             16.6440434613892 
2024-01-25  499                7643              15.3177020708083 
2024-01-26  437                6353              14.5389016018307 
2024-01-27  314                4782              15.2304140127389 
2024-01-28  108                1423              13.1788580246914 
2024-01-29  353                5684              16.1042020774315 
2024-01-30  627                11332             18.0736576289208 
2024-01-31  401                5900              14.7136741479634 
2024-02-01  339                5479              16.1637168141593 
2024-02-02  240                3474              14.4785416666667 
2024-02-03  86                 1061              12.3470930232558 
2024-02-04  102                1270              12.4558823529412 
2024-02-05  555                6890              12.4148048048048 
2024-02-06  362                5327              14.7168968692449 
2024-02-07  596                8676              14.5571029082774 
2024-02-08  493                6518              13.2218390804598 
2024-02-09  313                3497              11.1750266240682 
2024-02-10  83                 807               9.73032128514056 
2024-02-11  71                 757               10.668544600939  
2024-02-12  370                5213              14.0907207207207 
2024-02-13  644                18195             28.2540372670807 
2024-02-14  359                5133              14.2992107706592 
2024-02-15  405                6508              16.0695884773663 
2024-02-16  418                7193              17.2099681020734 
2024-02-17  103                1435              13.9377022653722 
2024-02-18  80                 861               10.765           
2024-02-19  484                6021              12.4403236914601 
2024-02-20  507                7543              14.8777120315582 
2024-02-21  367                6252              17.0374205267938 
2024-02-22  734                13045             17.7732288828338 
2024-02-23  472                6736              14.2712923728814 
2024-02-24  182                3951              21.7129120879121 
2024-02-25  48                 386               8.05104166666667 
2024-02-26  514                7526              14.6431258106355 
2024-02-27  328                5376              16.3914634146341 
2024-02-28  518                7248              13.9935328185328 
2024-02-29  502                7868              15.6751328021248 
2024-03-01  212                3478              16.4073113207547 
2024-03-02  59                 785               13.3073446327684 
2024-03-03  63                 836               13.2698412698413 
2024-03-04  546                22674             41.5276862026862 
2024-03-05  467                7012              15.0153818700928 
2024-03-06  366                5806              15.8653916211293 
2024-03-07  412                6646              16.1311084142395 
2024-03-08  391                5028              12.8610826939471 
2024-03-09  390                7365              18.8847863247863 
2024-03-10  83                 771               9.29317269076305 
2024-03-11  476                7723              16.2261554621849 
2024-03-12  466                7702              16.5288626609442 
2024-03-13  465                7697              16.5537634408602 
2024-03-14  487                8581              17.6218685831622 
2024-03-15  202                2739              13.5622112211221 
2024-03-16  73                 608               8.33904109589041 
2024-03-17  99                 508               5.13922558922559 
2024-03-18  228                2720              11.9334795321637 
2024-03-19  733                8392              11.4491132332879 
2024-03-20  373                5878              15.7600536193029 
2024-03-21  85                 281               3.30725490196078 
