day         number_of_outages  total_duration_h  avg_duration_h   
----------  -----------------  ----------------  -----------------
2023-09-26  4                  12                3.08333333333333 
2023-09-29  13                 39                3.06153846153846 
2023-10-03  6                  18                3.04166666666667 
2023-10-05  2                  6                 3.05             
2023-10-15  1                  3                 3.08333333333333 
2023-10-16  2                  27                13.8666666666667 
2023-10-17  6                  48                8.05             
2023-10-18  122                327               2.68224043715847 
2023-10-19  7                  58                8.38333333333333 
2023-10-20  2                  31                15.8833333333333 
2023-10-21  34                 197               5.79607843137255 
2023-10-23  145                254               1.75551724137931 
2023-10-24  5                  35                7.08333333333333 
2023-10-25  5                  39                7.82333333333333 
2023-10-26  11                 181               16.5212121212121 
2023-10-27  77                 149               1.94458874458874 
2023-10-30  1                  3                 3.05             
2023-11-01  8                  24                3.01666666666667 
2023-11-02  16                 96                6.028125         
2023-11-03  43                 311               7.25542635658915 
2023-11-04  35                 229               6.56333333333333 
2023-11-05  4                  12                3.04583333333333 
2023-11-06  4                  22                5.53333333333333 
2023-11-07  2                  38                19.4166666666667 
2023-11-08  134                185               1.38208955223881 
2023-11-09  5                  7                 1.48666666666667 
2023-11-10  2                  19                9.71666666666667 
2023-11-11  2                  0                 0.3              
2023-11-13  235                794               3.38021276595745 
2023-11-15  1                  1                 1.83333333333333 
2023-11-18  2                  6                 3.05             
2023-11-20  408                3367              8.25302287581699 
2023-11-22  71                 72                1.02370892018779 
2023-11-23  1                  7                 7.03333333333333 
2023-11-24  1                  3                 3.43333333333333 
2023-11-29  61                 146               2.4068306010929  
2023-11-30  123                1182              9.61138211382114 
2023-12-01  39                 112               2.87692307692308 
2023-12-04  8                  28                3.50416666666667 
2023-12-05  36                 364               10.1337962962963 
2023-12-07  51                 107               2.10653594771242 
2023-12-08  1                  0                 0.633333333333333
2023-12-09  49                 163               3.34659863945578 
2023-12-12  1                  4                 4.33333333333333 
2023-12-13  3                  9                 3.03333333333333 
2023-12-18  1                  26                26.4666666666667 
2023-12-19  4                  10                2.58333333333333 
2023-12-21  5                  15                3.03666666666667 
2023-12-22  15                 168               11.2244444444444 
2023-12-23  25                 90                3.62666666666667 
2023-12-24  22                 58                2.66969696969697 
2023-12-25  35                 168               4.81047619047619 
2023-12-27  3                  1                 0.4              
2024-01-02  75                 784               10.4635555555556 
2024-01-03  1                  1                 1.73333333333333 
2024-01-05  1                  1                 1.43333333333333 
2024-01-11  10                 56                5.65333333333333 
2024-01-17  48                 473               9.85659722222222 
2024-01-18  1                  3                 3.05             
2024-01-19  3                  4                 1.33333333333333 
2024-01-21  25                 124               4.988            
2024-01-23  11                 32                2.98787878787879 
2024-01-24  3                  1                 0.444444444444444
2024-01-25  4                  15                3.99583333333333 
2024-01-26  2                  6                 3.03333333333333 
2024-01-27  6                  2                 0.377777777777778
2024-02-01  4                  38                9.6              
2024-02-02  31                 65                2.12043010752688 
2024-02-03  14                 9                 0.692857142857143
2024-02-04  4                  12                3.05             
2024-02-05  2                  0                 0.366666666666667
2024-02-06  8                  89                11.1833333333333 
2024-02-07  10                 40                4.07666666666667 
2024-02-08  3                  16                5.64444444444444 
2024-02-09  43                 34                0.80968992248062 
2024-02-10  16                 185               11.5947916666667 
2024-02-21  4                  39                9.975            
2024-02-22  6                  40                6.76666666666667 
2024-02-25  5                  10                2.04             
2024-02-26  84                 253               3.01805555555556 
2024-02-28  1                  5                 5.56666666666667 
2024-03-03  1                  3                 3.06666666666667 
2024-03-04  2                  1                 0.933333333333333
2024-03-05  2                  6                 3.06666666666667 
2024-03-06  5                  4                 0.953333333333333
2024-03-07  1                  2                 2.56666666666667 
2024-03-08  139                1231              8.86294964028777 
2024-03-12  2                  3                 1.88333333333333 
2024-03-13  2                  32                16.1             
2024-03-15  1                  3                 3.05             
2024-03-17  1                  3                 3.08333333333333 
2024-03-18  10                 12                1.26             
2024-03-19  26                 177               6.81217948717949 
2024-03-20  14                 25                1.84404761904762 
2024-04-08  69                 439               6.36473429951691 
2024-04-09  13                 49                3.84358974358974 
2024-04-13  9                  99                11.0148148148148 
2024-04-15  646                5673              8.78304953560371 
2024-04-16  3                  20                6.77777777777778 
2024-04-17  4                  31                7.98333333333333 
2024-04-18  3                  16                5.61666666666667 
2024-04-19  39                 43                1.10470085470085 
2024-04-22  1                  3                 3.08333333333333 
2024-04-23  1                  3                 3.06666666666667 
2024-04-29  11                 88                8.04848484848485 
2024-05-03  16                 161               10.0791666666667 
2024-05-04  1                  22                22.8333333333333 
2024-05-05  51                 424               8.32352941176471 
2024-05-06  6                  27                4.59444444444444 
2024-05-08  9                  59                6.61666666666667 
2024-05-10  110                145               1.31863636363636 
2024-05-13  5                  26                5.20666666666667 
2024-05-15  10                 272               27.26            
2024-05-16  7                  52                7.52619047619048 
2024-05-17  80                 725               9.06479166666667 
2024-05-18  106                761               7.18852201257862 
2024-05-19  3                  9                 3.06666666666667 
